Year,BA,Scenario,Threshold,Peak_Load,Hours_Above_Threshold,Percent_Above_Threshold
1986,GCPD,historic,0.9,682.22,356.0,4.06392694063927
1986,GVL,historic,0.9,214.0,12.0,0.136986301369863
1986,HST,historic,0.9,47.7,513.0,5.856164383561644
1986,IID,historic,0.9,607.94,99.0,1.13013698630137
1986,IPCO,historic,0.9,2130.62,117.0,1.3356164383561644
1986,ISNE,historic,0.9,19046.61,9.0,0.10273972602739725
1986,JEA,historic,0.9,1709.47,6.0,0.0684931506849315
1986,LDWP,historic,0.9,4112.5,17.0,0.19406392694063926
1986,LGEE,historic,0.9,4384.86,73.0,0.8333333333333334
1986,MISO,historic,0.9,68248.71,112.0,1.2785388127853883
1986,NEVP,historic,0.9,3354.57,153.0,1.7465753424657535
1986,NSB,historic,0.9,57.18,5.0,0.05707762557077625
1986,NWMT,historic,0.9,1110.36,323.0,3.687214611872146
1986,NYIS,historic,0.9,21362.52,14.0,0.15981735159817353
1986,PACE,historic,0.9,4145.33,172.0,1.9634703196347032
1986,PACW,historic,0.9,2319.45,359.0,4.098173515981736
1986,PGE,historic,0.9,2749.74,43.0,0.4908675799086758
1986,PJM,historic,0.9,109555.92,66.0,0.7534246575342466
1986,PNM,historic,0.9,1237.01,74.0,0.8447488584474886
1986,PSCO,historic,0.9,3508.23,48.0,0.547945205479452
1986,PSEI,historic,0.9,4448.87,66.0,0.7534246575342466
1986,SC,historic,0.9,3341.27,7.0,0.07990867579908677
1986,SCEG,historic,0.9,3228.59,7.0,0.07990867579908677
1986,SCL,historic,0.9,1425.45,89.0,1.0159817351598175
1986,SEC,historic,0.9,186.77,8.0,0.091324200913242
1986,SOCO,historic,0.9,23867.87,51.0,0.5821917808219178
1986,SPA,historic,0.9,65.32,52.0,0.593607305936073
1986,SRP,historic,0.9,3027.01,56.0,0.6392694063926941
1986,SWPP,historic,0.9,28355.65,38.0,0.4337899543378996
1986,TAL,historic,0.9,325.73,5.0,0.05707762557077625
1986,TEC,historic,0.9,1997.89,157.0,1.7922374429223744
1986,TEPC,historic,0.9,1331.31,52.0,0.593607305936073
1986,TIDC,historic,0.9,371.33,106.0,1.2100456621004567
1986,TPWR,historic,0.9,736.36,79.0,0.9018264840182649
1986,TVA,historic,0.9,22628.12,24.0,0.273972602739726
1986,WACM,historic,0.9,2003.26,155.0,1.7694063926940637
1986,WALC,historic,0.9,861.12,305.0,3.4817351598173514
1986,WAUW,historic,0.9,94.08,88.0,1.004566210045662
1987,AEC,historic,0.9,599.47,7.0,0.07990867579908677
1987,AECI,historic,0.9,2473.42,110.0,1.2557077625570776
1987,AVA,historic,0.9,1834.59,87.0,0.9931506849315069
1987,AZPS,historic,0.9,3083.12,68.0,0.776255707762557
1987,BANC,historic,0.9,2777.26,62.0,0.7077625570776256
1987,BPAT,historic,0.9,8469.02,24.0,0.273972602739726
1987,CHPD,historic,0.9,405.89,16.0,0.182648401826484
1987,CISO,historic,0.9,29852.57,67.0,0.7648401826484018
1987,CPLE,historic,0.9,7355.88,24.0,0.273972602739726
1987,DOPD,historic,0.9,294.5,36.0,0.410958904109589
1987,DUK,historic,0.9,11868.66,94.0,1.0730593607305936
1987,EPE,historic,0.9,919.88,106.0,1.2100456621004567
1987,ERCO,historic,0.9,33926.42,184.0,2.1004566210045663
1987,FMPP,historic,0.9,1809.13,277.0,3.1621004566210047
1987,FPC,historic,0.9,5776.89,221.0,2.5228310502283104
1987,FPL,historic,0.9,12326.23,307.0,3.5045662100456623
1987,GCPD,historic,0.9,747.11,121.0,1.3812785388127853
1987,GVL,historic,0.9,219.57,128.0,1.461187214611872
1987,HST,historic,0.9,52.56,509.0,5.810502283105023
1987,IID,historic,0.9,605.42,144.0,1.643835616438356
1987,IPCO,historic,0.9,2267.42,80.0,0.91324200913242
1987,ISNE,historic,0.9,19915.06,49.0,0.5593607305936072
1987,JEA,historic,0.9,1363.1,171.0,1.952054794520548
1987,LDWP,historic,0.9,4047.91,58.0,0.6621004566210046
1987,LGEE,historic,0.9,4568.16,64.0,0.730593607305936
1987,MISO,historic,0.9,72646.49,196.0,2.237442922374429
1987,NEVP,historic,0.9,3574.25,82.0,0.9360730593607305
1987,NSB,historic,0.9,48.37,162.0,1.8493150684931507
1987,NWMT,historic,0.9,1180.06,244.0,2.7853881278538815
1987,NYIS,historic,0.9,22244.79,95.0,1.0844748858447488
1987,PACE,historic,0.9,4295.14,200.0,2.28310502283105
1987,PACW,historic,0.9,2762.21,22.0,0.2511415525114155
1987,PGE,historic,0.9,2946.48,35.0,0.3995433789954338
1987,PJM,historic,0.9,118155.3,86.0,0.9817351598173516
1987,PNM,historic,0.9,1262.74,245.0,2.7968036529680362
1987,PSCO,historic,0.9,3799.87,81.0,0.9246575342465754
1987,PSEI,historic,0.9,4698.02,113.0,1.2899543378995433
1987,SC,historic,0.9,2967.6,144.0,1.643835616438356
1987,SCEG,historic,0.9,3039.3,139.0,1.5867579908675797
1987,SCL,historic,0.9,1524.72,93.0,1.0616438356164384
1987,SEC,historic,0.9,144.73,52.0,0.593607305936073
1987,SOCO,historic,0.9,23122.95,320.0,3.65296803652968
1987,SPA,historic,0.9,65.56,216.0,2.4657534246575343
1987,SRP,historic,0.9,2977.48,139.0,1.5867579908675797
1987,SWPP,historic,0.9,30383.7,62.0,0.7077625570776256
1987,TAL,historic,0.9,293.88,137.0,1.5639269406392695
1987,TEC,historic,0.9,2202.43,256.0,2.922374429223744
1987,TEPC,historic,0.9,1373.07,65.0,0.7420091324200913
1987,TIDC,historic,0.9,415.89,42.0,0.4794520547945206
1987,TPWR,historic,0.9,795.07,96.0,1.095890410958904
1987,TVA,historic,0.9,21008.64,124.0,1.4155251141552512
1987,WACM,historic,0.9,2170.95,191.0,2.180365296803653
1987,WALC,historic,0.9,913.21,320.0,3.65296803652968
1987,WAUW,historic,0.9,105.91,54.0,0.6164383561643836
1988,AEC,historic,0.9,643.13,17.0,0.1935336976320583
1988,AECI,historic,0.9,2899.97,57.0,0.6489071038251366
