BA,Scenario,Era_One_Delta_Value,Era_Two_Delta_Value
PSCO,rcp85hotter_ssp5,6.125,24.375
PSEI,rcp45cooler_ssp3,5.25,-4.375
PSEI,rcp45cooler_ssp5,4.5,-4.375
PSEI,rcp45hotter_ssp3,5.75,-13.5
PSEI,rcp45hotter_ssp5,4.125,-13.75
PSEI,rcp85cooler_ssp3,3.25,-13.125
PSEI,rcp85cooler_ssp5,2.0,-12.75
PSEI,rcp85hotter_ssp3,2.375,10.625
PSEI,rcp85hotter_ssp5,1.5,12.75
SC,rcp45cooler_ssp3,39.375,56.25
SC,rcp45cooler_ssp5,33.875,46.75
SC,rcp45hotter_ssp3,35.125,70.0
SC,rcp45hotter_ssp5,27.125,63.625
SC,rcp85cooler_ssp3,32.125,97.125
SC,rcp85cooler_ssp5,31.0,82.125
SC,rcp85hotter_ssp3,36.5,128.875
SC,rcp85hotter_ssp5,37.625,118.125
SCEG,rcp45cooler_ssp3,26.375,35.625
SCEG,rcp45cooler_ssp5,27.625,33.5
SCEG,rcp45hotter_ssp3,28.0,34.875
SCEG,rcp45hotter_ssp5,25.25,30.0
SCEG,rcp85cooler_ssp3,23.0,75.75
SCEG,rcp85cooler_ssp5,22.25,59.375
SCEG,rcp85hotter_ssp3,18.25,99.125
SCEG,rcp85hotter_ssp5,17.375,92.875
SCL,rcp45cooler_ssp3,34.875,-14.875
SCL,rcp45cooler_ssp5,34.875,-14.875
SCL,rcp45hotter_ssp3,28.375,-27.875
SCL,rcp45hotter_ssp5,28.375,-27.875
SCL,rcp85cooler_ssp3,20.5,-22.125
SCL,rcp85cooler_ssp5,20.5,-22.125
SCL,rcp85hotter_ssp3,11.625,-16.25
SCL,rcp85hotter_ssp5,11.625,-16.25
SEC,rcp45cooler_ssp3,5.75,31.125
SEC,rcp45cooler_ssp5,7.5,31.125
SEC,rcp45hotter_ssp3,14.25,48.375
SEC,rcp45hotter_ssp5,17.75,47.375
SEC,rcp85cooler_ssp3,9.875,36.0
SEC,rcp85cooler_ssp5,9.875,37.5
SEC,rcp85hotter_ssp3,20.75,43.625
SEC,rcp85hotter_ssp5,20.0,38.75
SOCO,rcp45cooler_ssp3,14.5,24.625
SOCO,rcp45cooler_ssp5,3.125,20.875
SOCO,rcp45hotter_ssp3,35.5,32.75
SOCO,rcp45hotter_ssp5,30.125,26.5
SOCO,rcp85cooler_ssp3,15.375,31.625
SOCO,rcp85cooler_ssp5,11.5,25.875
SOCO,rcp85hotter_ssp3,28.375,52.125
SOCO,rcp85hotter_ssp5,26.25,44.0
SPA,rcp45cooler_ssp3,76.25,74.75
SPA,rcp45cooler_ssp5,78.25,72.75
SPA,rcp45hotter_ssp3,69.875,46.25
SPA,rcp45hotter_ssp5,67.5,47.25
SPA,rcp85cooler_ssp3,69.25,41.125
SPA,rcp85cooler_ssp5,66.25,45.5
SPA,rcp85hotter_ssp3,79.125,74.25
SPA,rcp85hotter_ssp5,78.5,83.625
SRP,rcp45cooler_ssp3,-1.5,-6.0
SRP,rcp45cooler_ssp5,-1.75,-4.75
SRP,rcp45hotter_ssp3,-6.5,-8.0
SRP,rcp45hotter_ssp5,-6.5,-6.875
SRP,rcp85cooler_ssp3,-2.625,-6.75
SRP,rcp85cooler_ssp5,-2.75,-3.125
SRP,rcp85hotter_ssp3,-3.0,-3.375
SRP,rcp85hotter_ssp5,-3.0,-1.75
SWPP,rcp45cooler_ssp3,39.75,45.625
SWPP,rcp45cooler_ssp5,33.125,33.5
SWPP,rcp45hotter_ssp3,54.375,59.0
SWPP,rcp45hotter_ssp5,49.375,47.375
SWPP,rcp85cooler_ssp3,35.25,63.875
SWPP,rcp85cooler_ssp5,31.625,53.75
SWPP,rcp85hotter_ssp3,55.875,92.625
SWPP,rcp85hotter_ssp5,50.625,79.625
TAL,rcp45cooler_ssp3,14.125,19.875
TAL,rcp45cooler_ssp5,14.125,20.0
TAL,rcp45hotter_ssp3,5.625,8.875
TAL,rcp45hotter_ssp5,5.625,8.875
TAL,rcp85cooler_ssp3,14.125,9.125
TAL,rcp85cooler_ssp5,14.125,9.125
TAL,rcp85hotter_ssp3,-6.5,22.125
TAL,rcp85hotter_ssp5,-6.5,22.125
TEC,rcp45cooler_ssp3,0.75,54.25
TEC,rcp45cooler_ssp5,0.625,49.75
TEC,rcp45hotter_ssp3,12.375,65.125
TEC,rcp45hotter_ssp5,13.375,62.125
TEC,rcp85cooler_ssp3,20.25,97.75
TEC,rcp85cooler_ssp5,19.75,84.625
TEC,rcp85hotter_ssp3,40.375,95.125
TEC,rcp85hotter_ssp5,39.25,106.5
TEPC,rcp45cooler_ssp3,3.625,10.0
TEPC,rcp45cooler_ssp5,0.75,8.375
TEPC,rcp45hotter_ssp3,5.5,20.75
TEPC,rcp45hotter_ssp5,1.625,21.0
TEPC,rcp85cooler_ssp3,3.875,16.25
TEPC,rcp85cooler_ssp5,2.75,15.75
TEPC,rcp85hotter_ssp3,11.0,23.5
TEPC,rcp85hotter_ssp5,8.5,22.25
TIDC,rcp45cooler_ssp3,-8.5,-7.25
TIDC,rcp45cooler_ssp5,-8.5,-7.5
TIDC,rcp45hotter_ssp3,-8.875,-5.75
TIDC,rcp45hotter_ssp5,-9.0,-5.75
TIDC,rcp85cooler_ssp3,-5.125,-3.625
TIDC,rcp85cooler_ssp5,-5.75,-3.5
TIDC,rcp85hotter_ssp3,-6.625,-3.75
TIDC,rcp85hotter_ssp5,-6.625,-3.75
TPWR,rcp45cooler_ssp3,19.0,3.875
TPWR,rcp45cooler_ssp5,18.0,5.75
TPWR,rcp45hotter_ssp3,16.0,-3.375
TPWR,rcp45hotter_ssp5,15.625,-2.875
TPWR,rcp85cooler_ssp3,19.625,-5.25
TPWR,rcp85cooler_ssp5,19.625,-4.0
TPWR,rcp85hotter_ssp3,15.25,-12.0
TPWR,rcp85hotter_ssp5,13.875,-11.25
TVA,rcp45cooler_ssp3,2.625,14.5
TVA,rcp45cooler_ssp5,4.5,16.125
TVA,rcp45hotter_ssp3,1.375,23.125
TVA,rcp45hotter_ssp5,2.75,22.625
TVA,rcp85cooler_ssp3,21.875,25.625
