Scenario,Year,State,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1984.0,Virginia,52.6248163,10055.33,0.414,0.393
historic,1984.0,Washington,72.29757364,13057.13,0.669,0.688
historic,1984.0,West Virginia,19.3018362,3707.74,0.599,0.569
historic,1984.0,Wisconsin,37.43792136,6317.24,0.512,0.49
historic,1984.0,Wyoming,9.008506619999999,1392.22,0.55,0.53
historic,1985.0,Alabama,51.71036843,13103.22,0.55,0.74
historic,1985.0,Arizona,33.49465586,7584.92,0.374,0.374
historic,1985.0,Arkansas,22.3857575,3826.44,0.447,0.43
historic,1985.0,California,173.62942194,37048.15,0.548,0.596
historic,1985.0,Colorado,24.56662406,4288.3,0.404,0.391
historic,1985.0,Connecticut,21.95591283,4141.7,0.689,0.673
historic,1985.0,Delaware,6.868359730000001,1326.29,0.543,0.518
historic,1985.0,District of Columbia,8.14827616,1573.45,0.621,0.593
historic,1985.0,Florida,111.64908351000001,24935.86,0.414,0.481
historic,1985.0,Georgia,64.5834761,16361.48,0.43,0.575
historic,1985.0,Idaho,15.15165423,2796.18,0.574,0.564
historic,1985.0,Illinois,93.54790979,17012.39,0.618,0.579
historic,1985.0,Indiana,64.18524964,11185.54,0.61,0.579
historic,1985.0,Iowa,24.23712264,4134.99,0.468,0.451
historic,1985.0,Kansas,22.36790484,4070.8,0.491,0.48
historic,1985.0,Kentucky,56.12258933,11806.58,0.69,0.772
historic,1985.0,Louisiana,52.4059221,8901.24,0.55,0.529
historic,1985.0,Maine,9.36675569,1766.92,0.758,0.74
historic,1985.0,Maryland,39.88468719,7701.81,0.554,0.529
historic,1985.0,Massachusetts,36.27898304,6843.57,0.594,0.58
historic,1985.0,Michigan,71.21611039,12152.89,0.664,0.635
historic,1985.0,Minnesota,38.90413242,6589.75,0.529,0.508
historic,1985.0,Mississippi,26.18798362,5488.19,0.505,0.6
historic,1985.0,Missouri,44.29285101,7762.37,0.481,0.472
historic,1985.0,Montana,11.48717598,1829.52,0.758,0.778
historic,1985.0,Nebraska,14.40432742,2601.97,0.438,0.428
historic,1985.0,Nevada,12.946810869999998,2779.35,0.314,0.323
historic,1985.0,New Hampshire,7.2652089900000005,1370.49,0.598,0.584
historic,1985.0,New Jersey,51.8145161,9834.08,0.602,0.569
historic,1985.0,New Mexico,10.95316544,1916.42,0.448,0.428
historic,1985.0,New York,106.22876312999999,19878.69,0.617,0.608
historic,1985.0,North Carolina,74.00814254000001,18121.01,0.491,0.638
historic,1985.0,North Dakota,5.52720405,950.87,0.283,0.273
historic,1985.0,Ohio,125.00116078,24137.97,0.804,0.768
historic,1985.0,Oklahoma,34.0574079,6190.93,0.509,0.495
historic,1985.0,Oregon,36.20615966,6568.12,0.659,0.716
historic,1985.0,Pennsylvania,99.86149911,19275.75,0.633,0.604
historic,1985.0,Rhode Island,5.1607849,973.52,0.608,0.593
historic,1985.0,South Carolina,45.781811909999995,11572.1,0.513,0.698
historic,1985.0,South Dakota,5.07881473,867.13,0.381,0.37
historic,1985.0,Tennessee,70.59190674,17543.65,0.629,0.827
historic,1985.0,Texas,195.61377847999998,36142.32,0.447,0.436
historic,1985.0,Utah,12.523693949999998,2122.11,0.348,0.344
historic,1985.0,Vermont,3.7817448,713.38,0.635,0.62
historic,1985.0,Virginia,57.30627857,11164.5,0.451,0.436
historic,1985.0,Washington,77.02228661,13938.68,0.713,0.734
historic,1985.0,West Virginia,20.34712382,3929.07,0.631,0.603
historic,1985.0,Wisconsin,40.27884725,6808.05,0.55,0.529
historic,1985.0,Wyoming,9.66378665,1564.14,0.59,0.596
historic,1986.0,Alabama,54.64307985,11124.54,0.581,0.628
historic,1986.0,Arizona,36.0599335,8160.21,0.402,0.403
historic,1986.0,Arkansas,23.96892843,4303.68,0.479,0.483
historic,1986.0,California,185.88116349,36966.22,0.586,0.595
historic,1986.0,Colorado,26.52288714,4614.1,0.437,0.421
historic,1986.0,Connecticut,23.59702562,4578.25,0.741,0.744
historic,1986.0,Delaware,7.32322786,1437.91,0.578,0.562
historic,1986.0,District of Columbia,8.689709279999999,1706.21,0.663,0.643
historic,1986.0,Florida,121.29438685,24276.91,0.449,0.468
historic,1986.0,Georgia,69.50811637999999,14164.53,0.463,0.498
historic,1986.0,Idaho,16.10799242,2870.51,0.61,0.579
historic,1986.0,Illinois,99.56835844,18861.97,0.658,0.642
historic,1986.0,Indiana,67.70968845,12246.67,0.643,0.634
historic,1986.0,Iowa,25.9265583,4613.78,0.501,0.503
historic,1986.0,Kansas,23.92836227,4788.6,0.525,0.565
historic,1986.0,Kentucky,58.37852464,11097.29,0.718,0.725
historic,1986.0,Louisiana,56.05348178,9859.37,0.589,0.586
historic,1986.0,Maine,10.0359253,1947.15,0.813,0.816
historic,1986.0,Maryland,42.87542338,8418.53,0.596,0.579
historic,1986.0,Massachusetts,39.089630979999995,7584.09,0.64,0.643
historic,1986.0,Michigan,75.19734851999999,13290.94,0.701,0.694
historic,1986.0,Minnesota,41.56098244,7288.19,0.565,0.562
historic,1986.0,Mississippi,28.06667964,5090.73,0.542,0.557
historic,1986.0,Missouri,47.42249276,8833.89,0.514,0.538
historic,1986.0,Montana,12.08190587,1863.34,0.797,0.792
historic,1986.0,Nebraska,15.49111829,3066.97,0.471,0.505
historic,1986.0,Nevada,14.00978383,2869.76,0.34,0.334
historic,1986.0,New Hampshire,7.79334254,1512.05,0.642,0.644
historic,1986.0,New Jersey,55.40369736,10753.63,0.644,0.622
historic,1986.0,New Mexico,11.83170074,2143.47,0.484,0.479
historic,1986.0,New York,113.57516043999999,22048.77,0.659,0.674
historic,1986.0,North Carolina,79.12457995999999,16558.5,0.525,0.583
historic,1986.0,North Dakota,5.97251234,1105.53,0.306,0.317
historic,1986.0,Ohio,131.46843916,25813.64,0.846,0.822
historic,1986.0,Oklahoma,36.677538399999996,7344.94,0.548,0.587
historic,1986.0,Oregon,38.476148280000004,6298.91,0.7,0.687
historic,1986.0,Pennsylvania,105.32403937000001,20674.7,0.667,0.648
historic,1986.0,Rhode Island,5.54822172,1076.46,0.654,0.656
historic,1986.0,South Carolina,48.95453218,10801.09,0.548,0.651
historic,1986.0,South Dakota,5.4743173700000005,998.48,0.411,0.426
historic,1986.0,Tennessee,73.53389663,15192.43,0.655,0.716
historic,1986.0,Texas,209.22065199000002,41658.15,0.478,0.502
