Scenario,Year,Interconnection,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
rcp45cooler_ssp3,2063.0,WECC,1191.18865692,234750.0,1.51,1.665
rcp45cooler_ssp3,2063.0,ERCOT,514.62973488,105440.19,1.577,1.612
rcp45cooler_ssp3,2064.0,EIC,3835.21696627,728861.08,1.257,1.291
rcp45cooler_ssp3,2064.0,WECC,1209.2239901500002,221474.62,1.533,1.571
rcp45cooler_ssp3,2064.0,ERCOT,530.66201031,109197.92,1.626,1.669
rcp45cooler_ssp3,2065.0,EIC,3886.8937394299996,713554.47,1.274,1.264
rcp45cooler_ssp3,2065.0,WECC,1227.07628817,241469.83,1.555,1.713
rcp45cooler_ssp3,2065.0,ERCOT,542.91681298,108457.91,1.664,1.658
rcp45cooler_ssp3,2066.0,EIC,3925.84773205,759021.13,1.287,1.345
rcp45cooler_ssp3,2066.0,WECC,1238.79608803,231808.68,1.57,1.644
rcp45cooler_ssp3,2066.0,ERCOT,550.80565393,117122.59,1.688,1.791
rcp45cooler_ssp3,2067.0,EIC,3964.18601242,775300.36,1.299,1.374
rcp45cooler_ssp3,2067.0,WECC,1250.69336145,230299.12999999998,1.585,1.633
rcp45cooler_ssp3,2067.0,ERCOT,559.1327408999999,114068.29,1.714,1.744
rcp45cooler_ssp3,2068.0,EIC,3999.6238477600004,780660.3300000001,1.311,1.383
rcp45cooler_ssp3,2068.0,WECC,1262.20760341,239618.57,1.6,1.7
rcp45cooler_ssp3,2068.0,ERCOT,570.74329677,120112.61,1.749,1.836
rcp45cooler_ssp3,2069.0,EIC,4036.0534750799998,775206.71,1.323,1.373
rcp45cooler_ssp3,2069.0,WECC,1274.3695563499998,244523.99000000002,1.615,1.734
rcp45cooler_ssp3,2069.0,ERCOT,580.7143498300001,115020.94,1.78,1.758
rcp45cooler_ssp3,2070.0,EIC,4071.7749385700004,801722.1900000001,1.335,1.42
rcp45cooler_ssp3,2070.0,WECC,1286.0876286,239480.06,1.63,1.699
rcp45cooler_ssp3,2070.0,ERCOT,591.83745302,121524.14,1.814,1.858
rcp45cooler_ssp3,2071.0,EIC,4089.45329888,780351.51,1.341,1.383
rcp45cooler_ssp3,2071.0,WECC,1288.1194162699999,235393.03,1.633,1.67
rcp45cooler_ssp3,2071.0,ERCOT,593.73180928,117731.72,1.82,1.8
rcp45cooler_ssp3,2072.0,EIC,4098.58349223,792876.32,1.343,1.405
rcp45cooler_ssp3,2072.0,WECC,1292.06034534,243520.5,1.638,1.727
rcp45cooler_ssp3,2072.0,ERCOT,602.26519596,122421.65,1.846,1.872
rcp45cooler_ssp3,2073.0,EIC,4114.76935423,787328.69,1.349,1.395
rcp45cooler_ssp3,2073.0,WECC,1293.9785255499999,251263.0,1.64,1.782
rcp45cooler_ssp3,2073.0,ERCOT,605.765661,123714.87,1.857,1.891
rcp45cooler_ssp3,2074.0,EIC,4127.38340232,763477.4600000001,1.353,1.353
rcp45cooler_ssp3,2074.0,WECC,1296.75999995,244230.59,1.644,1.732
rcp45cooler_ssp3,2074.0,ERCOT,611.97464302,124393.01,1.876,1.902
rcp45cooler_ssp3,2075.0,EIC,4141.76891162,808992.74,1.358,1.433
rcp45cooler_ssp3,2075.0,WECC,1299.1038983199999,256851.54,1.647,1.822
rcp45cooler_ssp3,2075.0,ERCOT,616.84974116,127887.74,1.891,1.955
rcp45cooler_ssp3,2076.0,EIC,4145.9174612,784915.89,1.359,1.391
rcp45cooler_ssp3,2076.0,WECC,1301.60114951,257165.2,1.65,1.824
rcp45cooler_ssp3,2076.0,ERCOT,624.63621994,127349.16,1.914,1.947
rcp45cooler_ssp3,2077.0,EIC,4153.53517714,824064.24,1.362,1.46
rcp45cooler_ssp3,2077.0,WECC,1304.88335451,244277.49000000002,1.654,1.733
rcp45cooler_ssp3,2077.0,ERCOT,628.16858379,126999.27,1.925,1.942
rcp45cooler_ssp3,2078.0,EIC,4158.23472191,797080.64,1.363,1.412
rcp45cooler_ssp3,2078.0,WECC,1306.77674959,257055.29,1.656,1.823
rcp45cooler_ssp3,2078.0,ERCOT,636.00792297,134457.28,1.949,2.056
rcp45cooler_ssp3,2079.0,EIC,4166.68179861,822165.05,1.366,1.457
rcp45cooler_ssp3,2079.0,WECC,1310.0818805699998,242013.72999999998,1.661,1.717
rcp45cooler_ssp3,2079.0,ERCOT,638.68799611,134390.45,1.957,2.055
rcp45cooler_ssp3,2080.0,EIC,4171.7554574000005,793406.46,1.367,1.406
rcp45cooler_ssp3,2080.0,WECC,1312.38612049,249240.97,1.663,1.768
rcp45cooler_ssp3,2080.0,ERCOT,645.74237872,139075.63,1.979,2.126
rcp45cooler_ssp3,2081.0,EIC,4189.95738318,824018.22,1.373,1.46
rcp45cooler_ssp3,2081.0,WECC,1315.0611743299999,252498.46,1.667,1.791
rcp45cooler_ssp3,2081.0,ERCOT,646.63411785,133575.07,1.982,2.042
rcp45cooler_ssp3,2082.0,EIC,4204.95817887,804781.78,1.378,1.426
rcp45cooler_ssp3,2082.0,WECC,1317.1396610699999,251601.68000000002,1.669,1.785
rcp45cooler_ssp3,2082.0,ERCOT,651.3235526699999,133945.71,1.996,2.048
rcp45cooler_ssp3,2083.0,EIC,4218.80433234,787905.89,1.383,1.396
rcp45cooler_ssp3,2083.0,WECC,1319.32251042,252382.2,1.672,1.79
rcp45cooler_ssp3,2083.0,ERCOT,657.06326947,136202.06,2.014,2.082
rcp45cooler_ssp3,2084.0,EIC,4235.45727669,788325.01,1.388,1.397
rcp45cooler_ssp3,2084.0,WECC,1321.4107216099999,244811.68,1.675,1.736
rcp45cooler_ssp3,2084.0,ERCOT,660.09082581,133821.96,2.023,2.046
rcp45cooler_ssp3,2085.0,EIC,4251.44046495,800769.91,1.394,1.419
rcp45cooler_ssp3,2085.0,WECC,1323.02372507,254728.77,1.677,1.807
rcp45cooler_ssp3,2085.0,ERCOT,664.26335148,134888.56,2.036,2.062
rcp45cooler_ssp3,2086.0,EIC,4283.29929054,867271.13,1.404,1.537
rcp45cooler_ssp3,2086.0,WECC,1332.23612658,272427.06,1.689,1.932
rcp45cooler_ssp3,2086.0,ERCOT,673.2400178099999,136162.52,2.063,2.082
rcp45cooler_ssp3,2087.0,EIC,4322.55921729,835658.26,1.417,1.481
rcp45cooler_ssp3,2087.0,WECC,1341.9314099100002,249413.49000000002,1.701,1.769
rcp45cooler_ssp3,2087.0,ERCOT,674.33269799,137995.81,2.067,2.11
rcp45cooler_ssp3,2088.0,EIC,4352.50037887,818327.87,1.427,1.45
rcp45cooler_ssp3,2088.0,WECC,1350.66358332,246674.92,1.712,1.75
rcp45cooler_ssp3,2088.0,ERCOT,685.70726073,140460.89,2.102,2.147
rcp45cooler_ssp3,2089.0,EIC,4382.57032354,845211.89,1.437,1.498
rcp45cooler_ssp3,2089.0,WECC,1359.9113925,260914.44999999998,1.724,1.851
rcp45cooler_ssp3,2089.0,ERCOT,696.43739984,143247.34,2.134,2.19
rcp45cooler_ssp3,2090.0,EIC,4421.62814589,853102.38,1.449,1.512
rcp45cooler_ssp3,2090.0,WECC,1368.40035545,260123.25,1.734,1.845
rcp45cooler_ssp3,2090.0,ERCOT,698.93850342,146725.33,2.142,2.243
rcp45cooler_ssp3,2091.0,EIC,4473.20169834,884333.88,1.466,1.567
rcp45cooler_ssp3,2091.0,WECC,1375.85938431,256311.35,1.744,1.818
rcp45cooler_ssp3,2091.0,ERCOT,721.4674124400001,147871.73,2.211,2.261
rcp45cooler_ssp3,2092.0,EIC,4532.49312141,885905.87,1.486,1.57
rcp45cooler_ssp3,2092.0,WECC,1383.97534886,263170.91,1.754,1.867
rcp45cooler_ssp3,2092.0,ERCOT,735.6215063,152568.75,2.255,2.333
rcp45cooler_ssp3,2093.0,EIC,4593.55733559,864172.53,1.506,1.531
rcp45cooler_ssp3,2093.0,WECC,1391.4995571400002,267944.73,1.764,1.9
rcp45cooler_ssp3,2093.0,ERCOT,748.59457408,154464.46,2.294,2.362
rcp45cooler_ssp3,2094.0,EIC,4652.90015019,837768.91,1.525,1.484
rcp45cooler_ssp3,2094.0,WECC,1398.88955904,253622.55,1.773,1.799
rcp45cooler_ssp3,2094.0,ERCOT,763.4232464400001,150925.9,2.34,2.307
rcp45cooler_ssp3,2095.0,EIC,4708.615802779998,882258.49,1.543,1.563
rcp45cooler_ssp3,2095.0,WECC,1406.9527323900002,263283.91,1.783,1.867
rcp45cooler_ssp3,2095.0,ERCOT,781.20590812,159270.94,2.394,2.435
rcp45cooler_ssp3,2096.0,EIC,4724.167505639999,894351.6,1.549,1.585
