BA,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%,Scenario_Pair
PACE,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,8.38,2060.0,7.64,5.0
PACW,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.64,2060.0,6.04,5.0
PGE,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.38,2065.0,7.05,5.0
PJM,rcp85cooler_ssp3,rcp45cooler_ssp3,2065.0,10.09,2065.0,9.1,5.0
PNM,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,9.01,2030.0,5.19,5.0
PSCO,rcp85cooler_ssp3,rcp45cooler_ssp3,2055.0,6.34,2030.0,5.54,5.0
PSEI,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.81,2060.0,5.71,5.0
SC,rcp85cooler_ssp3,rcp45cooler_ssp3,2075.0,7.14,2045.0,5.85,5.0
SCEG,rcp85cooler_ssp3,rcp45cooler_ssp3,2075.0,6.99,2075.0,5.73,5.0
SCL,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.92,2060.0,5.44,5.0
SEC,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,7.7,2085.0,7.11,5.0
SOCO,rcp85cooler_ssp3,rcp45cooler_ssp3,2070.0,6.16,2050.0,6.21,5.0
SPA,rcp85cooler_ssp3,rcp45cooler_ssp3,2065.0,6.98,2065.0,9.44,5.0
SRP,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.31,,,5.0
SWPP,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,6.91,2065.0,8.16,5.0
TAL,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.22,2035.0,5.99,5.0
TEC,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,5.53,,,5.0
TEPC,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,5.72,,,5.0
TIDC,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.91,2060.0,5.91,5.0
TPWR,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,6.06,2060.0,5.86,5.0
TVA,rcp85cooler_ssp3,rcp45cooler_ssp3,2070.0,7.58,2065.0,7.96,5.0
WACM,rcp85cooler_ssp3,rcp45cooler_ssp3,2055.0,6.07,2055.0,5.52,5.0
WALC,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.32,2065.0,7.16,5.0
WAUW,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,8.62,2060.0,6.89,5.0
AEC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
AECI,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
AVA,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
AZPS,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
BANC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
BPAT,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
CHPD,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
CISO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
CPLE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
DOPD,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
DUK,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
EPE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
ERCO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
FMPP,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
FPC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
FPL,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
GCPD,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
GVL,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
HST,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
IID,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
IPCO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
ISNE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
JEA,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
LDWP,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
LGEE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
MISO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
NEVP,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
NSB,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
NWMT,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
NYIS,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PACE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PACW,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PGE,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PJM,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PNM,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PSCO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
PSEI,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SCEG,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SCL,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SEC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SOCO,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SPA,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SRP,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
SWPP,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TAL,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TEC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TEPC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TIDC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TPWR,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
TVA,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
WACM,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
WALC,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
WAUW,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,,9.0
