Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2035,TEPC,46.38,1.9,67.27,1.62,124.88999999999942,2.42
2035,TIDC,14.79,3.67,19.07,2.81,36.120000000000005,4.12
2035,TPWR,12.15,1.43,22.94,2.12,25.8599999999999,1.95
2035,TVA,334.24,1.38,380.36,1.1,721.5499999999956,1.72
2035,WACM,287.45,6.51,331.65,5.84,380.2699999999995,5.73
2035,WALC,46.94,3.24,60.62,2.93,69.65999999999985,2.87
2035,WAUW,3.84,3.66,3.81,2.55,2.8300000000000125,1.51
2040,AEC,15.53,2.19,19.8,1.75,13.930000000000064,1.03
2040,AECI,367.56,11.35,560.75,10.45,567.7900000000009,8.96
2040,AVA,69.54,3.19,105.68,3.7,88.61999999999989,2.65
2040,AZPS,317.54,5.3,522.04,4.91,651.4400000000005,5.03
2040,BANC,206.21,7.11,306.41,6.25,469.89999999999964,6.86
2040,BPAT,331.92,3.4,479.21,4.01,577.4099999999999,4.08
2040,CHPD,10.29,3.03,21.4,4.34,32.00999999999999,5.3
2040,CISO,2742.43,7.04,3666.82,6.42,5895.330000000002,8.34
2040,CPLE,166.62,1.78,238.97,1.76,337.2199999999975,2.06
2040,DOPD,8.77,2.95,15.71,3.94,20.53000000000003,4.26
2040,DUK,248.86,1.51,350.9,1.51,206.86999999999898,0.73
2040,EPE,107.33,7.88,165.69,7.31,211.69999999999982,7.77
2040,ERCO,3575.74,6.72,5236.01,6.28,6633.5899999999965,6.57
2040,FMPP,32.57,1.17,50.12,1.18,28.710000000000036,0.59
2040,FPC,114.26,1.37,178.82,1.34,81.21000000000095,0.53
2040,FPL,184.58,0.96,297.58,1.02,159.34000000000378,0.48
2040,GCPD,26.44,2.91,25.72,2.2,29.090000000000146,2.14
2040,GVL,6.4,1.99,12.09,2.45,5.539999999999964,0.94
2040,HST,1.08,1.27,1.4,1.11,1.2800000000000011,0.93
2040,IID,41.48,6.64,81.76,6.65,118.71000000000004,7.74
2040,IPCO,118.61,3.98,151.41,3.12,149.1199999999999,2.42
2040,ISNE,1541.45,7.89,1882.67,7.1,3492.019999999997,10.47
2040,JEA,37.15,1.83,54.43,1.79,31.2199999999998,0.82
2040,LDWP,336.2,6.92,488.33,6.41,535.6900000000005,5.44
2040,LGEE,141.31,3.06,167.51,2.51,259.7000000000007,3.19
2040,MISO,6895.9,6.92,8475.78,6.28,9268.949999999983,5.97
2040,NEVP,251.61,3.76,394.71,3.46,481.21999999999935,3.49
2040,NSB,1.39,2.09,2.48,2.3,0.5200000000000102,0.39
2040,NWMT,85.24,5.88,95.7,5.29,96.67999999999984,4.49
2040,NYIS,1611.54,7.42,1960.35,6.44,3831.270000000004,10.26
2040,PACE,647.53,6.8,843.76,6.55,1054.6000000000004,6.86
2040,PACW,125.94,3.57,147.07,3.27,146.03999999999996,2.75
2040,PGE,112.64,3.26,124.05,2.76,119.14000000000033,2.14
2040,PJM,4267.87,3.73,4688.91,2.77,10122.209999999992,4.94
2040,PNM,284.47,10.42,371.02,9.45,454.8099999999995,10.01
2040,PSCO,898.39,11.07,1183.31,9.97,1511.2399999999998,10.69
2040,PSEI,157.04,2.9,249.17,3.61,292.03999999999996,3.58
2040,SC,78.06,1.66,157.58,2.46,83.84000000000015,1.09
2040,SCEG,77.65,1.61,144.64,2.2,110.59999999999945,1.39
2040,SCL,52.07,2.92,78.41,3.49,90.99000000000024,3.63
2040,SEC,3.38,1.64,4.9,1.55,12.03000000000003,2.99
2040,SOCO,553.21,1.61,702.65,1.38,118.84999999999854,0.2
2040,SPA,8.62,9.02,11.58,8.91,14.900000000000006,10.01
2040,SRP,305.63,5.36,514.63,4.99,652.7099999999991,5.33
2040,SWPP,4268.56,10.02,5840.4,8.85,7159.770000000004,9.45
2040,TAL,9.13,2.08,14.77,2.22,10.190000000000055,1.23
2040,TEC,46.4,1.39,68.51,1.35,33.719999999999345,0.58
2040,TEPC,142.43,5.19,216.87,4.64,326.72999999999956,5.74
2040,TIDC,32.43,7.26,49.17,6.64,83.05999999999995,8.56
2040,TPWR,26.99,3.02,43.25,3.75,53.38000000000011,3.97
2040,TVA,550.88,2.14,613.6,1.62,735.1300000000047,1.61
2040,WACM,559.36,11.2,670.66,10.4,643.3599999999997,8.78
2040,WALC,103.59,6.41,139.09,6.06,165.1800000000003,6.29
2040,WAUW,8.33,7.16,10.98,6.6,14.830000000000013,7.18
2045,AEC,22.67,3.15,24.82,2.13,95.1400000000001,6.68
2045,AECI,459.06,13.28,668.22,11.91,839.8300000000008,11.81
2045,AVA,143.4,6.06,202.69,6.35,248.78999999999996,6.85
2045,AZPS,442.01,6.59,742.72,6.3,1117.7200000000012,7.34
2045,BANC,322.22,10.33,481.16,9.11,699.6499999999996,10.2
2045,BPAT,664.52,6.31,896.36,6.74,1202.7000000000007,7.59
2045,CHPD,20.43,5.75,38.45,7.07,56.48000000000002,7.51
2045,CISO,4339.43,10.36,5867.02,9.62,7457.100000000006,9.9
2045,CPLE,230.82,2.38,255.33,1.71,195.90999999999985,1.06
2045,DOPD,17.95,5.71,30.21,6.76,42.39999999999998,7.04
2045,DUK,359.46,2.09,421.36,1.64,309.2199999999975,0.96
2045,EPE,182.26,12.16,291.04,11.55,371.96000000000004,12.12
2045,ERCO,6018.26,10.52,9066.99,10.06,9705.970000000001,9.53
2045,FMPP,56.0,1.9,76.07,1.65,110.92000000000007,2.15
2045,FPC,171.23,1.96,237.61,1.63,326.6800000000003,1.94
2045,FPL,337.83,1.66,479.93,1.51,530.6700000000055,1.49
2045,GCPD,57.66,5.78,64.34,4.98,73.57000000000016,5.01
2045,GVL,7.8,2.39,11.74,2.21,16.270000000000095,2.58
2045,HST,1.68,1.82,2.55,1.84,1.4000000000000057,0.91
2045,IID,67.02,9.94,131.96,10.1,154.72000000000003,8.95
2045,IPCO,233.1,7.0,313.25,5.82,384.1900000000005,5.71
2045,ISNE,2416.03,11.32,3017.29,9.84,3637.0999999999985,9.51
2045,JEA,51.14,2.41,56.97,1.73,40.13000000000011,1.04
2045,LDWP,536.09,10.32,779.67,9.74,950.6700000000001,9.1
2045,LGEE,198.99,4.15,180.61,2.49,257.1999999999989,3.03
2045,MISO,11911.87,11.04,15197.81,10.13,19669.670000000013,11.42
2045,NEVP,431.53,5.7,719.13,5.6,973.7399999999998,6.01
2045,NSB,1.73,2.55,2.41,2.06,3.390000000000015,2.45
2045,NWMT,163.85,10.17,194.09,9.55,210.19999999999982,8.88
2045,NYIS,2517.04,10.83,3265.99,9.51,3862.0,9.39
2045,PACE,1112.73,10.65,1459.39,10.31,1846.6200000000008,10.79
2045,PACW,241.24,6.28,286.54,5.74,292.4499999999998,5.04
2045,PGE,224.23,5.96,252.65,5.05,272.14999999999964,4.26
2045,PJM,8150.22,6.63,10532.15,5.53,14056.51999999999,6.42
2045,PNM,455.91,14.81,609.23,13.8,788.0,14.66
2045,PSCO,1429.97,15.62,1951.6,14.56,2206.4300000000003,12.97
2045,PSEI,339.21,5.81,489.12,6.47,593.6700000000001,6.74
2045,SC,93.45,2.0,108.3,1.57,70.04999999999927,0.84
2045,SCEG,92.31,1.93,103.03,1.46,47.29999999999927,0.55
2045,SCL,113.2,5.91,156.97,6.42,180.35000000000036,6.45
2045,SEC,5.72,2.58,8.14,2.4,17.590000000000032,4.01
2045,SOCO,820.69,2.35,776.08,1.47,435.3799999999974,0.72
2045,SPA,11.14,10.85,14.72,10.4,17.650000000000006,10.94
2045,SRP,426.26,6.7,738.54,6.45,1073.369999999999,7.43
2045,SWPP,6542.48,14.2,9239.04,13.01,11560.349999999991,13.6
2045,TAL,11.08,2.47,14.26,2.02,6.580000000000041,0.78
2045,TEC,73.57,2.05,111.84,2.02,164.6199999999999,2.6
2045,TEPC,203.52,6.57,319.96,6.16,455.65000000000055,6.99
2045,TIDC,50.57,10.51,77.47,9.65,103.74000000000001,10.14
2045,TPWR,56.36,5.92,83.69,6.63,100.76999999999998,6.79
2045,TVA,856.48,3.23,868.13,2.18,1310.939999999995,2.81
2045,WACM,908.92,16.2,1116.93,15.37,1333.8199999999997,15.4
2045,WALC,157.93,8.98,211.26,8.51,259.48,8.79
2045,WAUW,14.7,11.47,19.34,10.44,26.00999999999999,11.21
2050,AEC,36.63,4.49,45.88,3.4,91.41999999999985,5.67
2050,AECI,712.09,18.68,1053.07,17.18,1237.9499999999998,16.23
2050,AVA,246.23,9.61,322.7,9.57,417.3399999999997,10.63
2050,AZPS,607.57,8.47,969.2,7.55,1264.9300000000003,8.11
2050,BANC,444.25,13.22,635.97,11.49,922.9200000000001,11.93
2050,BPAT,1131.85,9.91,1392.22,9.91,1871.9699999999975,10.74
2050,CHPD,34.37,9.03,55.98,10.02,74.05999999999995,9.81
2050,CISO,5950.13,13.17,7728.06,11.83,10508.100000000006,12.23
2050,CPLE,319.4,3.02,302.82,1.88,97.06000000000131,0.5
2050,DOPD,29.48,8.82,41.14,8.94,63.22000000000003,10.25
2050,DUK,510.85,2.77,440.85,1.57,20.32999999999447,0.06
2050,EPE,277.78,16.5,426.41,15.18,475.9500000000003,13.98
